"","AIM2","APIP","BAK1","BAX","CASP1","CASP3","CASP4","CASP5","CASP8","CHMP2A","CHMP2B","CHMP3","CHMP4A","CHMP4B","CHMP4C","CHMP6","CHMP7","CYCS","DHX9","ELANE","GSDMA","GSDMB","GSDMC","GSDMD","GZMA","GZMB","IL18","IL1A","IL1B","IRF1","IRF2","NAIP","NLRC4","NLRP1","NLRP9","TP53","TP63","ZBP1"
"AIM2",1,0.130616335826489,0.308932480191783,0.240347505576315,0.643611818610763,0.276306525808552,0.445848294599846,0.703979759943011,0.28562508345909,-0.0398113400320223,0.268084529045367,0.264929401998241,0.171144508712077,0.310224809964528,0.0716172970500895,-0.012182170143276,0.296248795797839,0.0847102117178158,0.208167047179933,0.0839717998382358,0.630368113180146,0.0600646333901065,0.229626038664558,0.123402388045181,0.713089124547949,0.687014340900822,0.613624404290979,0.285096222429433,0.513472372823145,0.551772582601101,0.263560260919276,0.486910692163445,0.671619538015792,0.389700269956474,-0.0325890535670189,0.233978794460106,0.136622560355669,0.792179318429159
"APIP",0.130616335826489,1,0.388472927857183,0.288893619095197,0.0998727684624899,0.417591954507812,0.128264757002637,0.179286830066763,0.4784782110749,0.0924420766883112,0.449585562711352,0.392643302527498,-0.00075020082058498,0.300421922432996,0.292764500713451,0.269276273881133,0.143694976688822,0.234956870209015,0.620725428367284,-0.000530827761437769,0.157409541740553,0.184896250132378,0.267289210166085,0.183430919113733,-0.0444217438996452,0.0483345830847067,0.0201295462808198,0.154928172059807,0.0387891474679445,0.106409886611613,0.38209385279804,0.153825269224176,0.115218624718191,0.163414488820655,0.161121420106433,0.226514919970134,0.168800060790153,0.0645829703347068
"BAK1",0.308932480191783,0.388472927857183,1,0.568811717807969,0.262211262819927,0.514396313309527,0.48459325112334,0.383781762421591,0.528863805771412,0.249236329328746,0.47670584221234,0.694542238754922,0.327496508546142,0.697890284168208,0.550562199938308,0.330714975185784,0.331870079386535,0.540902503648288,0.553654491559312,-0.026806868361183,0.35043875139449,0.156615533275993,0.29736183017284,0.331499047249452,0.190981547684582,0.224189241870906,0.404846667169265,0.314839872578881,0.230819601325868,0.358962149031013,0.145662974445648,0.354358254409383,0.351620291907412,0.219903994602634,0.156249201579942,0.301356441243343,0.0971582798150277,0.278684629998962
"BAX",0.240347505576315,0.288893619095197,0.568811717807969,1,0.178164261526335,0.338323647317926,0.38590212954127,0.24826420062602,0.265609731144479,0.545553977902161,0.143067591298952,0.509229332587309,0.45936953701821,0.699990047114512,0.427901322697623,0.467276103998453,0.233849769550762,0.283144358254699,0.386843834868969,-0.0211100874400804,0.266992754456811,0.247260342937461,0.196653341821282,0.545964881050221,0.238445826306134,0.247346501848676,0.366391744218211,0.216738763347113,0.0722118705143775,0.217461065470853,-0.0461505480552168,0.128317777021121,0.212139324312588,0.201253147346991,0.0877476241025987,0.451163303069427,0.0773724613512254,0.253648881367478
"CASP1",0.643611818610763,0.0998727684624899,0.262211262819927,0.178164261526335,1,0.344682864400466,0.600734055066871,0.536578538711635,0.342967094028829,-0.0456483213952329,0.337702464018684,0.259987285922028,0.154013838305424,0.275193392985046,0.0554495552963476,0.008513297890586,0.243049109487148,0.125286836231773,0.15355577892453,0.197179584128363,0.53386152306017,0.0570316422401388,0.273794243635868,0.0906271571520846,0.698125529814888,0.529420154222061,0.61274531129557,0.238559142636755,0.514685172844813,0.660288988800869,0.391645755408441,0.395564014939511,0.613400280197539,0.407116972571458,-0.0258208349614334,0.0969178089488183,0.0896991315166107,0.611551933218621
"CASP3",0.276306525808552,0.417591954507812,0.514396313309527,0.338323647317926,0.344682864400466,1,0.305010489448191,0.290974664398676,0.569424735142379,-0.0667938338986336,0.521570677721587,0.52747492248271,-0.0125856080962274,0.375210405910834,0.310570050518691,0.194177554817039,0.32364321399474,0.224304290054955,0.588213780801077,0.104876787219997,0.30686874238685,0.193840665457112,0.279442293920689,0.108830719743727,0.205826166635858,0.130687725918725,0.235674961328513,0.251630312868947,0.155021060620435,0.314548273540695,0.593090319431934,0.340360498837329,0.259373487563622,0.277894371753126,0.0750465891320819,0.282040757547304,0.138126080758497,0.275285043427802
"CASP4",0.445848294599846,0.128264757002637,0.48459325112334,0.38590212954127,0.600734055066871,0.305010489448191,1,0.438566971603061,0.39714834362076,0.13041956424657,0.325404166885451,0.445496885592773,0.274901642645771,0.503859683889543,0.365583147996671,0.0638786486593098,0.289577233223217,0.296798340048681,0.241392526319524,0.0493944228771889,0.412559341646642,0.093707041557945,0.210674666463537,0.176736815915356,0.424814076257709,0.361016776326761,0.579426692931065,0.221098044667702,0.409299460066186,0.546443704369973,0.173182324380453,0.401655357845964,0.494320290790529,0.265124796959932,0.0373968705712126,0.286147871947812,-0.0424921112367372,0.42000045637913
"CASP5",0.703979759943011,0.179286830066763,0.383781762421591,0.24826420062602,0.536578538711635,0.290974664398676,0.438566971603061,1,0.318967101496945,-0.0149748712582087,0.315707246543419,0.30447644595713,0.174353166042523,0.365471669805522,0.0955842811642508,0.0114234673034688,0.255176337155333,0.19262756921075,0.276393962050788,0.0514794941438679,0.623058788588786,0.0700044020918095,0.218379557836826,0.126707964992654,0.518314345406198,0.588512375179024,0.510081496565059,0.25723980834048,0.529725607548436,0.468761973867693,0.251687504559884,0.475524598088202,0.611736289942335,0.256765231170832,-0.0283209342897666,0.167439878439547,0.122949727808408,0.589110112147421
"CASP8",0.28562508345909,0.4784782110749,0.528863805771412,0.265609731144479,0.342967094028829,0.569424735142379,0.39714834362076,0.318967101496945,1,-0.0473635463668529,0.544165545234537,0.544135460975177,0.0752299098323169,0.367566560109261,0.363903863433902,0.154451844130977,0.344963713090186,0.264089681467006,0.634165592246319,-0.0105683453429376,0.287017560508016,0.36852431915345,0.309687183071489,0.0518040269504007,0.119257170481014,0.117439655010105,0.309642819088922,0.260726204392108,0.235814669997217,0.313562956222009,0.561981647960957,0.455583722458326,0.325034777564813,0.365371196098684,0.149467187281962,0.226342819151916,0.150347164915752,0.260578842605303
"CHMP2A",-0.0398113400320223,0.0924420766883112,0.249236329328746,0.545553977902161,-0.0456483213952329,-0.0667938338986336,0.13041956424657,-0.0149748712582087,-0.0473635463668529,1,-0.236117238073871,0.0906925977735022,0.459987322005342,0.483750051460165,0.186788371196556,0.444650097369359,0.0338405302969553,0.308618429974479,-0.136713197979589,-0.0575224171271041,0.0107819469323021,0.165929130774285,0.0590902704324658,0.495175665246348,0.117501867191843,0.105898125365154,0.0686380416928879,-0.0347654563274951,-0.206974806890376,0.0343543339589265,-0.332091117042066,-0.127857215446274,-0.0851351185499343,-0.0233748442597712,0.0256870698061762,0.0698506783229751,0.00172052821580465,0.0337513150251479
"CHMP2B",0.268084529045367,0.449585562711352,0.47670584221234,0.143067591298952,0.337702464018684,0.521570677721587,0.325404166885451,0.315707246543419,0.544165545234537,-0.236117238073871,1,0.553850431560825,-0.0305999169785233,0.327209298199132,0.359436566873167,0.0196233378923952,0.283508268920619,0.313278063816283,0.588770715228537,0.00841556074678668,0.283512692193797,0.0196357247063894,0.240389781337605,-0.0230101136200937,0.112443819734778,0.0866579660373589,0.257132723419723,0.252136582410776,0.315130189380576,0.326333410277959,0.394246942546881,0.381752483719302,0.318246344983451,0.260917795698361,0.0475573253809052,0.153627799991088,0.113996090445628,0.195462752911281
"CHMP3",0.264929401998241,0.392643302527498,0.694542238754922,0.509229332587309,0.259987285922028,0.52747492248271,0.445496885592773,0.30447644595713,0.544135460975177,0.0906925977735022,0.553850431560825,1,0.205195879340437,0.64210858940695,0.522154775361442,0.205112194454549,0.478968526868228,0.396499029102605,0.688191827569586,0.0395311128623861,0.34034195473044,0.0624179995305776,0.293406134417584,0.109997030040989,0.147845929684454,0.116356084902647,0.409001344734337,0.324528393188156,0.262395049778813,0.283776378072657,0.340961148208749,0.485590718328195,0.390449081809721,0.27766995848991,0.184704769050046,0.469241349960214,0.117125280546026,0.231641090230201
