"","va1","va2","va3"
"1","AIM2",1,"AIM2"
"2","APIP",0.130616335826489,"AIM2"
"3","BAK1",0.308932480191783,"AIM2"
"4","BAX",0.240347505576315,"AIM2"
"5","CASP1",0.643611818610763,"AIM2"
"6","CASP3",0.276306525808552,"AIM2"
"7","CASP4",0.445848294599846,"AIM2"
"8","CASP5",0.703979759943011,"AIM2"
"9","CASP8",0.28562508345909,"AIM2"
"10","CHMP2A",-0.0398113400320223,"AIM2"
"11","CHMP2B",0.268084529045367,"AIM2"
"12","CHMP3",0.264929401998241,"AIM2"
"13","CHMP4A",0.171144508712077,"AIM2"
"14","CHMP4B",0.310224809964528,"AIM2"
"15","CHMP4C",0.0716172970500895,"AIM2"
"16","CHMP6",-0.012182170143276,"AIM2"
"17","CHMP7",0.296248795797839,"AIM2"
"18","CYCS",0.0847102117178158,"AIM2"
"19","DHX9",0.208167047179933,"AIM2"
"20","ELANE",0.0839717998382358,"AIM2"
"21","GSDMA",0.630368113180146,"AIM2"
"22","GSDMB",0.0600646333901065,"AIM2"
"23","GSDMC",0.229626038664558,"AIM2"
"24","GSDMD",0.123402388045181,"AIM2"
"25","GZMA",0.713089124547949,"AIM2"
"26","GZMB",0.687014340900822,"AIM2"
"27","IL18",0.613624404290979,"AIM2"
"28","IL1A",0.285096222429433,"AIM2"
"29","IL1B",0.513472372823145,"AIM2"
"30","IRF1",0.551772582601101,"AIM2"
"31","IRF2",0.263560260919276,"AIM2"
"32","NAIP",0.486910692163445,"AIM2"
"33","NLRC4",0.671619538015792,"AIM2"
"34","NLRP1",0.389700269956474,"AIM2"
"35","NLRP9",-0.0325890535670189,"AIM2"
"36","TP53",0.233978794460106,"AIM2"
"37","TP63",0.136622560355669,"AIM2"
"38","ZBP1",0.792179318429159,"AIM2"
"39","AIM2",0.130616335826489,"APIP"
"40","APIP",1,"APIP"
"41","BAK1",0.388472927857183,"APIP"
"42","BAX",0.288893619095197,"APIP"
"43","CASP1",0.0998727684624899,"APIP"
"44","CASP3",0.417591954507812,"APIP"
"45","CASP4",0.128264757002637,"APIP"
"46","CASP5",0.179286830066763,"APIP"
"47","CASP8",0.4784782110749,"APIP"
"48","CHMP2A",0.0924420766883112,"APIP"
"49","CHMP2B",0.449585562711352,"APIP"
"50","CHMP3",0.392643302527498,"APIP"
"51","CHMP4A",-0.00075020082058498,"APIP"
"52","CHMP4B",0.300421922432996,"APIP"
"53","CHMP4C",0.292764500713451,"APIP"
"54","CHMP6",0.269276273881133,"APIP"
"55","CHMP7",0.143694976688822,"APIP"
"56","CYCS",0.234956870209015,"APIP"
"57","DHX9",0.620725428367284,"APIP"
"58","ELANE",-0.000530827761437769,"APIP"
"59","GSDMA",0.157409541740553,"APIP"
"60","GSDMB",0.184896250132378,"APIP"
"61","GSDMC",0.267289210166085,"APIP"
"62","GSDMD",0.183430919113733,"APIP"
"63","GZMA",-0.0444217438996452,"APIP"
"64","GZMB",0.0483345830847067,"APIP"
"65","IL18",0.0201295462808198,"APIP"
"66","IL1A",0.154928172059807,"APIP"
"67","IL1B",0.0387891474679445,"APIP"
"68","IRF1",0.106409886611613,"APIP"
"69","IRF2",0.38209385279804,"APIP"
"70","NAIP",0.153825269224176,"APIP"
"71","NLRC4",0.115218624718191,"APIP"
"72","NLRP1",0.163414488820655,"APIP"
"73","NLRP9",0.161121420106433,"APIP"
"74","TP53",0.226514919970134,"APIP"
"75","TP63",0.168800060790153,"APIP"
"76","ZBP1",0.0645829703347068,"APIP"
"77","AIM2",0.308932480191783,"BAK1"
"78","APIP",0.388472927857183,"BAK1"
"79","BAK1",1,"BAK1"
"80","BAX",0.568811717807969,"BAK1"
"81","CASP1",0.262211262819927,"BAK1"
"82","CASP3",0.514396313309527,"BAK1"
"83","CASP4",0.48459325112334,"BAK1"
"84","CASP5",0.383781762421591,"BAK1"
"85","CASP8",0.528863805771412,"BAK1"
"86","CHMP2A",0.249236329328746,"BAK1"
"87","CHMP2B",0.47670584221234,"BAK1"
"88","CHMP3",0.694542238754922,"BAK1"
"89","CHMP4A",0.327496508546142,"BAK1"
"90","CHMP4B",0.697890284168208,"BAK1"
"91","CHMP4C",0.550562199938308,"BAK1"
"92","CHMP6",0.330714975185784,"BAK1"
"93","CHMP7",0.331870079386535,"BAK1"
"94","CYCS",0.540902503648288,"BAK1"
"95","DHX9",0.553654491559312,"BAK1"
"96","ELANE",-0.026806868361183,"BAK1"
"97","GSDMA",0.35043875139449,"BAK1"
"98","GSDMB",0.156615533275993,"BAK1"
"99","GSDMC",0.29736183017284,"BAK1"
"100","GSDMD",0.331499047249452,"BAK1"
"101","GZMA",0.190981547684582,"BAK1"
"102","GZMB",0.224189241870906,"BAK1"
"103","IL18",0.404846667169265,"BAK1"
"104","IL1A",0.314839872578881,"BAK1"
"105","IL1B",0.230819601325868,"BAK1"
"106","IRF1",0.358962149031013,"BAK1"
"107","IRF2",0.145662974445648,"BAK1"
"108","NAIP",0.354358254409383,"BAK1"
